"word","count","nextWord","phrase"
"made a",338,"a","made"
"but that",337,"that","but"
"the night",337,"night","the"
"thanks to",337,"to","thanks"
"with your",336,"your","with"
"don't think",336,"think","don't"
"i'll be",335,"be","i'll"
"is also",335,"also","is"
"and get",334,"get","and"
"talking about",334,"about","talking"
"the case",334,"case","the"
"here is",334,"is","here"
"much of",333,"of","much"
"for our",333,"our","for"
"about to",333,"to","about"
"will not",333,"not","will"
"where i",333,"i","where"
"down to",333,"to","down"
"being a",332,"a","being"
"think of",332,"of","think"
"top of",332,"of","top"
"you can't",331,"can't","you"
"talk about",331,"about","talk"
"since the",331,"the","since"
"this weekend",331,"weekend","this"
"if he",331,"he","if"
"what it",331,"it","what"
"full of",330,"of","full"
"and what",330,"what","and"
"we all",329,"all","we"
"for years",329,"years","for"
"it for",329,"for","it"
"seem to",329,"to","seem"
"for more",328,"more","for"
"and this",328,"this","and"
"love the",327,"the","love"
"with it",327,"it","with"
"to read",327,"read","to"
"she has",327,"has","she"
"to win",326,"win","to"
"in one",326,"one","in"
"seems to",326,"to","seems"
"the road",325,"road","the"
"looking forward",325,"forward","looking"
"a huge",325,"huge","a"
"it on",325,"on","it"
"my first",325,"first","my"
"i made",325,"made","i"
"it's the",324,"the","it's"
"to it",324,"it","to"
"the season",324,"season","the"
"to an",323,"an","to"
"check out",322,"out","check"
"to tell",322,"tell","to"
"need a",322,"a","need"
"do with",322,"with","do"
"chance to",322,"to","chance"
"in front",321,"front","in"
"you were",321,"were","you"
"supposed to",321,"to","supposed"
"to share",320,"share","to"
"they had",320,"had","they"
"how many",319,"many","how"
"while the",319,"the","while"
"all that",319,"that","all"
"them in",318,"in","them"
"because they",318,"they","because"
"think that",317,"that","think"
"united states",317,"states","united"
"order to",317,"to","order"
"it with",316,"with","it"
"and their",315,"their","and"
"needs to",315,"to","needs"
"she had",315,"had","she"
"for that",315,"that","for"
"working on",313,"on","working"
"less than",313,"than","less"
"was just",313,"just","was"
"the show",312,"show","the"
"and some",312,"some","and"
"them and",312,"and","them"
"about this",312,"this","about"
"not just",311,"just","not"
"i never",311,"never","i"
"or not",311,"not","or"
"the idea",310,"idea","the"
"much as",310,"as","much"
"the old",310,"old","the"
"any of",310,"of","any"
"get it",309,"it","get"
"wait to",309,"to","wait"
"all i",309,"i","all"
"the kids",309,"kids","the"
"and as",309,"as","and"
"st louis",308,"louis","st"
"before i",308,"i","before"
"amount of",307,"of","amount"
"which i",307,"i","which"
"i mean",306,"mean","i"
"like i",306,"i","like"
"to watch",306,"watch","to"
"and even",306,"even","and"
"you could",305,"could","you"
"better than",305,"than","better"
"i couldn't",305,"couldn't","i"
"told me",304,"me","told"
"should have",304,"have","should"
"have you",304,"you","have"
"to write",304,"write","to"
"and now",303,"now","and"
"but i'm",303,"i'm","but"
"but you",303,"you","but"
"not sure",302,"sure","not"
"time in",301,"in","time"
"in all",301,"all","in"
"i haven't",300,"haven't","i"
"back and",300,"and","back"
"his own",300,"own","his"
"in new",300,"new","in"
"to talk",299,"talk","to"
"on her",299,"her","on"
"it seems",299,"seems","it"
"in it",298,"it","in"
"your own",297,"own","your"
"i said",297,"said","i"
"are so",297,"so","are"
"the entire",297,"entire","the"
"to pay",297,"pay","to"
"the future",297,"future","the"
"find a",296,"a","find"
"to live",296,"live","to"
"it doesn't",296,"doesn't","it"
"to show",296,"show","to"
"until the",296,"the","until"
"i felt",296,"felt","i"
"live in",295,"in","live"
"since i",295,"i","since"
"the man",295,"man","the"
"that my",295,"my","that"
"with their",295,"their","with"
"between the",295,"the","between"
"new jersey",294,"jersey","new"
"day and",294,"and","day"
"take the",294,"the","take"
"continue to",293,"to","continue"
"the team",293,"team","the"
"for those",293,"those","for"
"a large",293,"large","a"
"you like",292,"like","you"
"think about",292,"about","think"
"it the",291,"the","it"
"and when",291,"when","and"
"a nice",290,"nice","a"
"have an",290,"an","have"
"of time",290,"time","of"
"people are",290,"are","people"
"as if",290,"if","as"
"to stay",290,"stay","to"
"we do",289,"do","we"
"do the",289,"the","do"
"can get",289,"get","can"
"the national",289,"national","the"
"and has",289,"has","and"
"would like",288,"like","would"
"to create",288,"create","to"
"what he",288,"he","what"
"you see",287,"see","you"
"i'm a",287,"a","i'm"
"ready for",286,"for","ready"
"you all",286,"all","you"
"when she",286,"she","when"
"things that",286,"that","things"
