"word","count","nextWord","phrase"
"as soon as i get",8,"get","as soon as i"
"you know what i mean",8,"mean","you know what i"
"the rest of the evening",8,"evening","the rest of the"
"on the other hand i",8,"i","on the other hand"
"for those of you that",8,"that","for those of you"
"of the new york times",8,"times","of the new york"
"mother's day to all the",8,"the","mother's day to all"
"we are going to be",8,"be","we are going to"
"wake up in the morning",8,"morning","wake up in the"
"you should be able to",8,"to","you should be able"
"i like the idea of",8,"of","i like the idea"
"on the day of the",8,"the","on the day of"
"the back of my mind",8,"mind","the back of my"
"there were a lot of",8,"of","there were a lot"
"figure out a way to",8,"to","figure out a way"
"i am going to try",8,"try","i am going to"
"as soon as i can",8,"can","as soon as i"
"so much for stopping by",8,"by","so much for stopping"
"one of the things that",8,"that","one of the things"
"in the history of the",8,"the","in the history of"
"the name of the lord",8,"lord","the name of the"
"to come to terms with",8,"with","to come to terms"
"the rest of your life",8,"life","the rest of your"
"i thought it was a",8,"a","i thought it was"
"in the middle of it",8,"it","in the middle of"
"are in the process of",8,"of","are in the process"
"look at some of the",8,"the","look at some of"
"to be able to get",8,"get","to be able to"
"from the rest of the",8,"the","from the rest of"
"as a member of the",8,"the","as a member of"
"i have been able to",8,"to","i have been able"
"it has nothing to do",8,"do","it has nothing to"
"one of the things i",8,"i","one of the things"
"i can tell you that",8,"that","i can tell you"
"the benefit of the doubt",8,"doubt","the benefit of the"
"which is one of the",8,"the","which is one of"
"come to the conclusion that",8,"that","come to the conclusion"
"i love madison i love",8,"love","i love madison i"
"love madison i love madison",8,"madison","love madison i love"
"could go on and on",8,"on","could go on and"
"i wanted it to be",8,"be","i wanted it to"
"have no idea how to",8,"to","have no idea how"
"one of the most successful",8,"successful","one of the most"
"one of the most beautiful",8,"beautiful","one of the most"
"0.00 0.00 american funds mmf",8,"mmf","0.00 0.00 american funds"
"there was no way i",8,"i","there was no way"
"i think a lot of",8,"of","i think a lot"
"and this is what i",8,"i","and this is what"
"and every one of you",8,"you","and every one of"
"can be found on the",8,"the","can be found on"
"i am happy to say",8,"say","i am happy to"
"know about you but i",8,"i","know about you but"
"for one reason or another",8,"another","for one reason or"
"i am going to share",8,"share","i am going to"
"i hope you all had",8,"had","i hope you all"
"there are a number of",8,"of","there are a number"
"fact of the matter is",8,"is","fact of the matter"
"in the new york times",8,"times","in the new york"
"on the bottom of the",8,"the","on the bottom of"
"i woke up this morning",8,"morning","i woke up this"
"i don't know if it",8,"it","i don't know if"
"is a bit of a",8,"a","is a bit of"
"due to the fact that",8,"that","due to the fact"
"the world we live in",8,"in","the world we live"
"so i am going to",8,"to","so i am going"
"to see if i could",8,"could","to see if i"
"i know a lot of",8,"of","i know a lot"
"towards the end of the",8,"the","towards the end of"
"he was going to miss",8,"miss","he was going to"
"out keep freaking out keep",8,"keep","out keep freaking out"
"looking forward to seeing you",7,"you","looking forward to seeing"
"you don't want to miss",7,"miss","you don't want to"
"in the second half of",7,"of","in the second half"
"i think we need to",7,"to","i think we need"
"he was one of the",7,"the","he was one of"
"i just want to see",7,"see","i just want to"
"if you want to see",7,"see","if you want to"
"three months of the year",7,"year","three months of the"
"great way to start the",7,"the","great way to start"
"the rest of the team",7,"team","the rest of the"
"when i was in high",7,"high","when i was in"
"i had no idea what",7,"what","i had no idea"
"one of the first things",7,"things","one of the first"
"thanks for following me on",7,"on","thanks for following me"
"and over and over again",7,"again","and over and over"
"know if you have any",7,"any","know if you have"
"hope everyone is having a",7,"a","hope everyone is having"
"i wish i could have",7,"have","i wish i could"
"to the point where i",7,"i","to the point where"
"hope to see you at",7,"at","hope to see you"
"all i want to do",7,"do","all i want to"
"have to say i am",7,"am","have to say i"
"don't know what to say",7,"say","don't know what to"
"the rock and roll hall",7,"hall","the rock and roll"
"the fact that i am",7,"am","the fact that i"
"there is no doubt that",7,"that","there is no doubt"
"for those of us who",7,"who","for those of us"
"the city of st louis",7,"louis","the city of st"
"i don't want to go",7,"go","i don't want to"
"we look forward to seeing",7,"seeing","we look forward to"
"that i was able to",7,"to","that i was able"
"as much as i did",7,"did","as much as i"
"hope you have a wonderful",7,"wonderful","hope you have a"
"if i was going to",7,"to","if i was going"
"find a way to get",7,"get","find a way to"
"have to go back to",7,"to","have to go back"
"at the edge of the",7,"the","at the edge of"
"to let you know that",7,"that","to let you know"
"is the only way to",7,"to","is the only way"
"a great way to start",7,"start","a great way to"
"over the past two years",7,"years","over the past two"
"i didn't want to be",7,"be","i didn't want to"
"the last day of the",7,"the","the last day of"
"on the second floor of",7,"of","on the second floor"
"and one of the most",7,"most","and one of the"
"tell me what to do",7,"do","tell me what to"
"i have no doubt that",7,"that","i have no doubt"
"i think i might have",7,"have","i think i might"
"the end of the night",7,"night","the end of the"
"to see some of the",7,"the","to see some of"
"to make sure that the",7,"the","to make sure that"
"at the center of the",7,"the","at the center of"
"be the death of me",7,"me","be the death of"
"the past couple of weeks",7,"weeks","the past couple of"
"the end of this month",7,"month","the end of this"
"i have no idea why",7,"why","i have no idea"
"at the university of chicago",7,"chicago","at the university of"
"in the first round of",7,"of","in the first round"
"to get back on the",7,"the","to get back on"
"be able to see the",7,"the","be able to see"
"year and a half ago",7,"ago","year and a half"
"you have to have a",7,"a","you have to have"
"on the other hand is",7,"is","on the other hand"
"first thing in the morning",7,"morning","first thing in the"
"in the midst of a",7,"a","in the midst of"
"you need to know about",7,"about","you need to know"
"and i look forward to",7,"to","and i look forward"
"going to have to be",7,"be","going to have to"
"was one of the first",7,"first","was one of the"
"i just want you to",7,"to","i just want you"
"see what i can do",7,"do","see what i can"
"spending a lot of time",7,"time","spending a lot of"
"was one of the best",7,"best","was one of the"
"are going to have to",7,"to","are going to have"
"i wish i had a",7,"a","i wish i had"
"i am not sure what",7,"what","i am not sure"
"but i don't want to",7,"to","but i don't want"
"what to do with the",7,"the","what to do with"
"you are having a great",7,"great","you are having a"
"a thing of the past",7,"past","a thing of the"
"then all of a sudden",7,"sudden","then all of a"
"in the last couple of",7,"of","in the last couple"
"the last couple of years",7,"years","the last couple of"
"i will be able to",7,"to","i will be able"
"i'm a huge fan of",7,"of","i'm a huge fan"
"for more than a year",7,"year","for more than a"
"salt and pepper to taste",7,"taste","salt and pepper to"
"a week and a half",7,"half","a week and a"
"#swag #swag #swag #swag #swag",7,"#swag","#swag #swag #swag #swag"
"had nothing to do with",7,"with","had nothing to do"
"there seems to be a",7,"a","there seems to be"
"for the past two years",7,"years","for the past two"
"centers for disease control and",7,"and","centers for disease control"
"but in the end i",7,"i","but in the end"
"i have to admit i",7,"i","i have to admit"
"you want to make sure",7,"sure","you want to make"
"make the world a better",7,"better","make the world a"
"it is what it is",7,"is","it is what it"
"the same period last year",7,"year","the same period last"
"what it feels like to",7,"to","what it feels like"
"at the same time they",7,"they","at the same time"
"the first time in years",7,"years","the first time in"
"i think i need to",7,"to","i think i need"
"for the first time on",7,"on","for the first time"
"a look at some of",7,"of","a look at some"
"over the course of a",7,"a","over the course of"
"before the end of the",7,"the","before the end of"
"the end of the summer",7,"summer","the end of the"
"for a long time but",7,"but","for a long time"
"on the part of the",7,"the","on the part of"
"do you want to be",7,"be","do you want to"
"have anything to do with",7,"with","have anything to do"
"to be a lot of",7,"of","to be a lot"
"i didn't know what to",7,"to","i didn't know what"
"at least one of the",7,"the","at least one of"
"sometimes you just have to",7,"to","sometimes you just have"
"it doesn't have to be",7,"be","it doesn't have to"
"it would be hard to",7,"to","it would be hard"
"you are one of the",7,"the","you are one of"
"to take a look at",7,"at","to take a look"
"in the next few weeks",7,"weeks","in the next few"
"of the reasons why i",7,"i","of the reasons why"
"the new york stock exchange",7,"exchange","the new york stock"
"madison i love madison i",7,"i","madison i love madison"
"i think this is a",7,"a","i think this is"
"there is no way to",7,"to","there is no way"
"is not to say that",7,"that","is not to say"
"the end of last year",7,"year","the end of last"
"to pick up the pieces",7,"pieces","to pick up the"
"was one of the few",7,"few","was one of the"
"on the other end of",7,"of","on the other end"
"over the past few weeks",7,"weeks","over the past few"
"0.00 american funds mmf cl",7,"cl","0.00 american funds mmf"
"0.01 0.01 daily income fund",7,"fund","0.01 0.01 daily income"
"i am so proud of",7,"of","i am so proud"
"the face of the earth",7,"earth","the face of the"
"and came up with this",7,"this","and came up with"
"i was going to have",7,"have","i was going to"
"to say thank you to",7,"to","to say thank you"
"i'd love to hear from",7,"from","i'd love to hear"
"can be found in the",7,"the","can be found in"
"a few years ago and",7,"and","a few years ago"
"of chicago chicago illinois incorporated",7,"incorporated","of chicago chicago illinois"
"chicago chicago illinois incorporated in",7,"in","chicago chicago illinois incorporated"
"it's been a while since",7,"since","it's been a while"
"to be found in the",7,"the","to be found in"
"i had no idea how",7,"how","i had no idea"
