"word","count","nextWord","phrase"
"a sense of",97,"of","a sense"
"in the air",97,"air","in the"
"you're going to",97,"to","you're going"
"and i don't",97,"don't","and i"
"to figure out",97,"out","to figure"
"is not the",97,"the","is not"
"you so much",96,"much","you so"
"it was so",96,"so","it was"
"is the most",96,"most","is the"
"is expected to",96,"to","is expected"
"wait to see",96,"see","wait to"
"of the first",96,"first","of the"
"to use the",96,"the","to use"
"there are some",96,"some","there are"
"didn't want to",96,"to","didn't want"
"and i had",96,"had","and i"
"is a very",95,"very","is a"
"the way to",95,"to","the way"
"at the moment",95,"moment","at the"
"said he was",95,"was","said he"
"at least one",95,"one","at least"
"to create a",95,"a","to create"
"to have to",95,"to","to have"
"a year ago",95,"ago","a year"
"this is what",95,"what","this is"
"of the people",95,"people","of the"
"so much for",94,"for","so much"
"to see how",94,"how","to see"
"a piece of",94,"of","a piece"
"in the back",94,"back","in the"
"to work with",94,"with","to work"
"check out the",94,"the","check out"
"we will be",94,"be","we will"
"and if you",94,"you","and if"
"the other hand",94,"hand","the other"
"the state of",94,"of","the state"
"i thought it",94,"it","i thought"
"there are no",94,"no","there are"
"check it out",93,"out","check it"
"the same thing",93,"thing","the same"
"according to a",93,"a","according to"
"how are you",93,"you","how are"
"you for the",93,"the","you for"
"around the world",93,"world","around the"
"a picture of",93,"of","a picture"
"but if you",93,"you","but if"
"just want to",92,"to","just want"
"in the car",92,"car","in the"
"a list of",92,"of","a list"
"in a statement",92,"statement","in a"
"over the last",92,"last","over the"
"in the way",92,"way","in the"
"but in the",92,"the","but in"
"don't know how",91,"how","don't know"
"in a few",91,"few","in a"
"the best of",91,"of","the best"
"by the end",91,"end","by the"
"to have the",91,"the","to have"
"such as the",91,"the","such as"
"don't have a",91,"a","don't have"
"up on the",91,"the","up on"
"more of a",91,"a","more of"
"the people who",91,"who","the people"
"and there are",91,"are","and there"
"the last time",90,"time","the last"
"at some point",90,"point","at some"
"i had the",90,"the","i had"
"and a half",90,"half","and a"
"the use of",90,"of","the use"
"in the house",89,"house","in the"
"i was so",89,"so","i was"
"to get my",89,"my","to get"
"middle of the",89,"the","middle of"
"day of the",89,"the","day of"
"in my head",89,"head","in my"
"of the book",89,"book","of the"
"the way i",89,"i","the way"
"i think we",89,"we","i think"
"of the week",89,"week","of the"
"being able to",88,"to","being able"
"for the rt",88,"rt","for the"
"what kind of",88,"of","what kind"
"get to the",88,"the","get to"
"i don't like",88,"like","i don't"
"director of the",88,"the","director of"
"in the face",88,"face","in the"
"wish i could",88,"could","wish i"
"the cost of",88,"of","the cost"
"of the other",88,"other","of the"
"bit of a",88,"a","bit of"
"i got a",87,"a","i got"
"the size of",87,"of","the size"
"in the next",87,"next","in the"
"going to do",87,"do","going to"
"the right to",87,"to","the right"
"you know that",87,"that","you know"
"as you can",87,"can","as you"
"used to be",87,"be","used to"
"would be the",87,"the","would be"
"i can get",87,"get","i can"
"for all the",86,"the","for all"
"i need a",86,"a","i need"
"it's time to",86,"to","it's time"
"to go back",86,"back","to go"
"that was a",86,"a","that was"
"have to go",86,"go","have to"
"for more than",86,"than","for more"
"get out of",86,"of","get out"
"i was just",86,"just","i was"
"that we have",86,"have","that we"
"of the house",86,"house","of the"
"seem to be",86,"be","seem to"
"down to the",86,"the","down to"
"for all of",85,"of","for all"
"it was just",85,"just","it was"
"to get it",85,"it","to get"
"and you can",85,"can","and you"
"the last few",85,"few","the last"
"this was a",85,"a","this was"
"well as the",85,"the","well as"
"to get out",85,"out","to get"
"had to be",85,"be","had to"
"in this case",85,"case","in this"
"i try to",84,"to","i try"
"a great day",84,"day","a great"
"what it is",84,"is","what it"
"want to go",84,"go","want to"
"and that is",84,"is","and that"
"for the last",84,"last","for the"
"to do a",84,"a","to do"
"be on the",84,"the","be on"
"that was the",84,"the","that was"
"and all the",84,"the","and all"
"a member of",84,"of","a member"
"at the top",84,"top","at the"
"member of the",84,"the","member of"
"the block of",84,"of","the block"
"one of our",83,"our","one of"
"nothing to do",83,"do","nothing to"
"i would love",83,"love","i would"
"have a lot",83,"lot","have a"
"the same way",83,"way","the same"
"to be more",83,"more","to be"
"for the rest",83,"rest","for the"
"that i could",83,"could","that i"
"for those who",83,"who","for those"
"in one of",82,"of","in one"
"what are you",82,"you","what are"
"to talk to",82,"to","to talk"
"a great time",82,"time","a great"
"know what i",82,"i","know what"
"the most important",82,"important","the most"
"are a few",82,"few","are a"
"that is a",82,"a","that is"
"to me and",82,"and","to me"
"in the process",82,"process","in the"
"and they are",82,"are","and they"
"on the floor",82,"floor","on the"
"the city of",82,"of","the city"
"as i was",82,"was","as i"
"some kind of",82,"of","some kind"
"to work on",81,"on","to work"
"lot of people",81,"people","lot of"
"the other side",81,"side","the other"
"to tell you",81,"you","to tell"
"people in the",81,"the","people in"
"the chance to",81,"to","the chance"
"due to the",81,"the","due to"
"because it was",81,"was","because it"
"that there are",81,"are","that there"
"a bit more",81,"more","a bit"
"to all the",80,"the","to all"
"to see a",80,"a","to see"
"you are a",80,"a","you are"
"thought it was",80,"was","thought it"
"much as i",80,"i","much as"
"to be on",80,"on","to be"
"you can get",80,"get","you can"
"the age of",80,"of","the age"
"along the way",80,"way","along the"
"if i can",80,"can","if i"
"to do is",80,"is","to do"
"it as a",80,"a","it as"
"able to get",80,"get","able to"
"it may be",80,"be","it may"
"a few minutes",80,"minutes","a few"
"in other words",80,"words","in other"
"not to mention",80,"mention","not to"
"i got to",80,"to","i got"
"president of the",80,"the","president of"
"new york city",80,"city","new york"
"what is the",79,"the","what is"
"and the other",79,"other","and the"
"he is a",79,"a","he is"
"it could be",79,"be","it could"
"out of a",79,"a","out of"
"of the game",79,"game","of the"
"out to be",79,"be","out to"
"the only way",79,"way","the only"
"in a way",79,"way","in a"
"how much i",79,"i","how much"
"for some reason",79,"reason","for some"
"a variety of",79,"of","a variety"
"half of the",79,"the","half of"
"i didn't know",78,"know","i didn't"
